nama_tempat,user,review,rating
Unknown,Sitti Inrotul Robiah,aselikk sekarang uda ga kayak dulu lgi mienya kadang kelembekan kadang bumbu nya ga rata kadang ada rambutnya maaf ya bukannya apa tpi lama lama klo bgitu trus cape we. mana ini skrg ga di kasi pangsit kacau kacau,1
Unknown,Andi Fatir Rahmaniar,"Datang sebelum jam 11 malam nunggu pesanan mie 2 biji 1 jam lebih sudah konfir ke pegawainya yg mondar mandir bukannya bilang ""oh maaf yah kak sebentat saya konfirmasi"" malah ""sabar kak"" mana judes lagi, akhirnya hampir 2 jam nunggu mutusi …",1
Unknown,Harum Budiyani,"Pertama kali dine in disini. Kebingungan karena biasanya hanya beli online, alhamdulillah langsung dibantu karyawan untuk cari tempat duduk & diajarkan cara memesan 👍. Untuk mie datangnya cepat tp dimsum & minuman harus menunggu cukup lama …",4
Unknown,Raa Pasha,"ini niat ga sih buka 24jam🧐, apa kitchen nya kesel yak buat orderan tengah malem? udah pesen yg lv1 dan lv2 tapi dikasih cabe nya banyak bener dahh makan kepedesan jadi nya ga nikmat, dari dulu ga pernah konsisten lv kepedesannya untung dimsum nya enak, tolong di pernatikan lah request lv kepedesan nya jgn ngasal2 pls.. …",1
Unknown,Farras Muyassar Firjatullah,"Gacoan paling busuk disini. Sdhnya lama nunggu, pangsit isi ayam ada batu didalamnya tegigit. Untung ga rusak gigi. Pimpinannya jga ga ada ketegasan klo ada yg ngerokok ga ditegur. Jelas"" sdh ada tulisan dilarang merokok tpi mereka jga yg ngebiarin irng ngerokok di area makan.💩💩💩 …",1
Unknown,Yunita Sari,"pelayanannya ramahh, tempatnya bersih, gacoannya enakk bangett, bintang 5 dehh",5
Unknown,sekar anggoro lestari,"kmren lusa ad pesan take away, untuk rasa dimsum nya masih sama kayak biasanya. tapi untuk mie nya rasanya hambar banget, sulit untuk di nikmati. biasanya klo take away mungkin dingin aja, tapi Bru kali ini rasa mie nya hambar bgt gda rasa …",4
Unknown,Erna Arista,"Tempat makan yg enak dan murah,sering makan di sini. Karena udang keju,lumpia sama dimsumnya enak berasa banget ayam dan udangnya,apa lgi kejunya melimpah 🤭
Es yg favorite es gobak sodor …",5
